_id,Year,BranchCode,CardholderType,Circulation
668,2023,VIR,Adult,12313520
586,2023,CL,Adult,486145
651,2023,RI,Adult,244612
579,2023,BR,Adult,233402
605,2023,FV,Adult,232809
636,2023,ND,Adult,230234
575,2023,BF,Adult,225403
566,2023,AG,Adult,219646
596,2023,EA,Adult,214134
589,2023,DM,Adult,209567
652,2023,RN,Adult,196288
663,2023,SWS,Adult,195013
578,2023,BL,Adult,189520
623,2023,LE,Adult,188176
641,2023,PA,Adult,179535
591,2023,DP,Adult,178924
667,2023,TRL,Adult,177461
603,2023,FO,Adult,157587
643,2023,PK,Adult,153521
613,2023,HP,Adult,152842
624,2023,LO,Adult,143745
574,2023,BE,Adult,142811
600,2023,EN,Adult,142467
625,2023,LS,Adult,138574
583,2023,CE,Adult,134179
626,2023,MA,Adult,132519
617,2023,JD,Adult,126927
673,2023,WY,Adult,126880
588,2023,DA,Adult,126335
611,2023,HIL,Adult,124011
580,2023,BRW,Adult,119132
563,2023,AB,Adult,115744
659,2023,SL,Adult,114785
569,2023,AN,Adult,112509
627,2023,MAL,Adult,111506
584,2023,CED,Adult,110614
360,2023,CL,Child,109202
645,2023,PM,Adult,106558
650,2023,RD,Adult,102989
587,2023,CS,Adult,98880
564,2023,ACD,Adult,96726
602,2023,FH,Adult,96290
644,2023,PL,Adult,95236
674,2023,YO,Adult,93194
672,2023,WS,Adult,85742
658,2023,SJ,Adult,85613
606,2023,GE,Adult,85325
647,2023,PU,Adult,82203
590,2023,DO,Adult,81499
656,2023,SC,Adult,81071
379,2023,FV,Child,80153
618,2023,JO,Adult,79028
595,2023,DU,Adult,78673
661,2023,ST,Adult,78241
601,2023,ES,Adult,77141
632,2023,MI,Adult,77141
607,2023,GHP,Adult,76449
628,2023,MAS,Adult,75397
340,2023,AG,Child,75094
585,2023,CH,Adult,72358
635,2023,MS,Adult,72355
609,2023,HB,Adult,70240
634,2023,MRV,Adult,70038
621,2023,LB,Adult,68942
582,2023,CC,Adult,67680
648,2023,PV,Adult,66600
571,2023,BB,Adult,65815
654,2023,SA,Adult,64194
660,2023,SP,Adult,63637
592,2023,DR,Adult,63356
363,2023,DM,Child,63033
610,2023,HC,Adult,62508
640,2023,OV,Adult,62486
629,2023,MCG,Adult,59507
664,2023,TA,Adult,58163
638,2023,NT,Adult,57815
565,2023,AD,Adult,56795
620,2023,KE,Adult,55158
425,2023,RI,Child,54386
349,2023,BF,Child,54173
646,2023,PR,Adult,50492
597,2023,EB,Adult,50182
401,2023,MAL,Child,50018
437,2023,SWS,Child,49627
642,2023,PE,Adult,49539
665,2023,TH,Adult,49420
608,2023,GW,Adult,49346
573,2023,BD,Adult,48827
594,2023,DT,Adult,48217
370,2023,EA,Child,47412
630,2023,MD,Adult,46733
670,2023,WE,Adult,46259
619,2023,JS,Adult,45902
649,2023,QS,Adult,44832
353,2023,BR,Child,44301
397,2023,LE,Child,44301
612,2023,HLS,Adult,43662
374,2023,EN,Child,41839
446,2023,WS,Child,41300
398,2023,LO,Child,40204
604,2023,FP,Adult,39418
581,2023,BUR,Adult,39265
657,2023,SI,Adult,38023
675,2023,YW,Adult,35246
337,2023,AB,Child,35228
358,2023,CED,Child,34658
410,2023,ND,Child,34606
354,2023,BRW,Child,34331
669,2023,VV,Adult,34289
385,2023,HIL,Child,34230
570,2023,AP,Adult,33897
426,2023,RN,Child,33388
352,2023,BL,Child,33212
435,2023,ST,Child,33190
338,2023,ACD,Child,30787
357,2023,CE,Child,30442
339,2023,AD,Child,30158
377,2023,FO,Child,28942
415,2023,PA,Child,28928
653,2023,RX,Adult,28067
381,2023,GHP,Child,28032
567,2023,AH,Adult,27094
633,2023,MP,Adult,26500
387,2023,HP,Child,26266
421,2023,PU,Child,25915
598,2023,EG,Adult,25698
391,2023,JD,Child,25614
430,2023,SC,Child,25570
637,2023,NE,Adult,25367
422,2023,PV,Child,25303
362,2023,DA,Child,25297
614,2023,HS,Adult,24491
439,2023,TH,Child,23913
345,2023,BB,Child,23815
666,2023,TOD,Adult,23406
400,2023,MA,Child,22830
572,2023,BC,Adult,22770
394,2023,KE,Child,22687
615,2023,HW,Adult,22144
343,2023,AN,Child,21626
403,2023,MCG,Child,21572
417,2023,PK,Child,21448
447,2023,WY,Child,21407
366,2023,DR,Child,21078
671,2023,WP,Adult,20904
473,2023,CL,Teen,20761
406,2023,MI,Child,19998
419,2023,PM,Child,19723
662,2023,SW,Adult,19382
380,2023,GE,Child,19332
365,2023,DP,Child,18556
348,2023,BE,Child,18500
375,2023,ES,Child,18347
399,2023,LS,Child,18246
376,2023,FH,Child,18114
424,2023,RD,Child,18007
568,2023,AL,Adult,17760
408,2023,MRV,Child,17156
364,2023,DO,Child,16839
402,2023,MAS,Child,16776
384,2023,HC,Child,16291
369,2023,DU,Child,15726
378,2023,FP,Child,15418
412,2023,NT,Child,15218
453,2023,AG,Teen,15187
414,2023,OV,Child,15168
409,2023,MS,Child,15074
392,2023,JO,Child,14442
576,2023,BKONE,Adult,14334
356,2023,CC,Child,14311
347,2023,BD,Child,14181
361,2023,CS,Child,14025
355,2023,BUR,Child,13861
448,2023,YO,Child,13018
492,2023,FV,Teen,12699
432,2023,SJ,Child,11986
371,2023,EB,Child,11943
444,2023,WE,Child,11876
395,2023,LB,Child,11813
393,2023,JS,Child,11459
389,2023,HW,Child,10731
404,2023,MD,Child,10476
416,2023,PE,Child,10248
471,2023,CED,Teen,10230
462,2023,BF,Teen,10078
344,2023,AP,Child,9841
383,2023,HB,Child,9721
438,2023,TA,Child,9650
514,2023,MAL,Teen,9542
431,2023,SI,Child,9221
443,2023,VV,Child,9112
382,2023,GW,Child,8978
418,2023,PL,Child,8971
368,2023,DT,Child,8947
428,2023,SA,Child,8683
433,2023,SL,Child,8461
449,2023,YW,Child,8000
538,2023,RI,Teen,7735
450,2023,AB,Teen,7730
423,2023,QS,Child,7518
467,2023,BRW,Teen,6733
483,2023,EA,Teen,6599
476,2023,DM,Teen,6403
577,2023,BKTWO,Adult,6365
359,2023,CH,Child,6271
559,2023,WS,Teen,6098
436,2023,SW,Child,6023
445,2023,WP,Child,6006
427,2023,RX,Child,5953
451,2023,ACD,Teen,5761
407,2023,MP,Child,5608
372,2023,EG,Child,5567
470,2023,CE,Teen,5486
498,2023,HIL,Teen,5457
346,2023,BC,Child,5277
552,2023,TH,Teen,5274
341,2023,AH,Child,5198
516,2023,MCG,Teen,5167
388,2023,HS,Child,5110
523,2023,ND,Teen,4991
616,2023,IL,Adult,4861
434,2023,SP,Child,4756
593,2023,DS,Adult,4745
465,2023,BL,Teen,4357
504,2023,JD,Teen,4315
350,2023,BKONE,Child,4285
548,2023,ST,Teen,4178
494,2023,GHP,Teen,4160
507,2023,KE,Teen,4097
411,2023,NE,Child,4006
528,2023,PA,Teen,3930
469,2023,CC,Teen,3906
466,2023,BR,Teen,3838
479,2023,DR,Teen,3827
487,2023,EN,Teen,3719
539,2023,RN,Teen,3618
491,2023,FP,Teen,3568
543,2023,SC,Teen,3558
535,2023,PV,Teen,3544
460,2023,BD,Teen,3478
420,2023,PR,Child,3451
440,2023,TOD,Child,3312
475,2023,DA,Teen,3185
477,2023,DO,Teen,3183
522,2023,MS,Teen,3126
458,2023,BB,Teen,3022
497,2023,HC,Teen,2942
530,2023,PK,Teen,2925
521,2023,MRV,Teen,2866
550,2023,SWS,Teen,2843
510,2023,LE,Teen,2823
488,2023,ES,Teen,2788
461,2023,BE,Teen,2735
351,2023,BKTWO,Child,2704
500,2023,HP,Teen,2650
511,2023,LO,Teen,2642
441,2023,TRL,Child,2601
655,2023,SB,Adult,2471
456,2023,AN,Teen,2331
506,2023,JS,Teen,2286
468,2023,BUR,Teen,2284
562,2023,YW,Teen,2258
513,2023,MA,Teen,2207
342,2023,AL,Child,2085
537,2023,RD,Teen,1994
484,2023,EB,Teen,1938
457,2023,AP,Teen,1932
557,2023,WE,Teen,1928
541,2023,SA,Teen,1893
485,2023,EG,Teen,1883
534,2023,PU,Teen,1782
515,2023,MAS,Teen,1747
512,2023,LS,Teen,1737
493,2023,GE,Teen,1694
495,2023,GW,Teen,1665
505,2023,JO,Teen,1654
489,2023,FH,Teen,1619
558,2023,WP,Teen,1561
517,2023,MD,Teen,1558
545,2023,SJ,Teen,1492
474,2023,CS,Teen,1360
554,2023,TRL,Teen,1338
531,2023,PL,Teen,1329
478,2023,DP,Teen,1324
532,2023,PM,Teen,1314
482,2023,DU,Teen,1293
560,2023,WY,Teen,1174
490,2023,FO,Teen,1171
533,2023,PR,Teen,1103
519,2023,MI,Teen,1071
524,2023,NE,Teen,1008
525,2023,NT,Teen,935
459,2023,BC,Teen,927
496,2023,HB,Teen,922
508,2023,LB,Teen,905
527,2023,OV,Teen,822
556,2023,VV,Teen,818
502,2023,HW,Teen,796
540,2023,RX,Teen,758
544,2023,SI,Teen,758
501,2023,HS,Teen,751
551,2023,TA,Teen,702
452,2023,AD,Teen,647
546,2023,SL,Teen,638
454,2023,AH,Teen,603
529,2023,PE,Teen,474
481,2023,DT,Teen,472
561,2023,YO,Teen,382
547,2023,SP,Teen,359
520,2023,MP,Teen,317
455,2023,AL,Teen,309
463,2023,BKONE,Teen,296
367,2023,DS,Child,252
536,2023,QS,Teen,246
472,2023,CH,Teen,224
553,2023,TOD,Teen,203
464,2023,BKTWO,Teen,185
549,2023,SW,Teen,119
639,2023,OS,Adult,106
